AlbumID,Album,J'ai
1,Un chariot dans l'Ouest,
2,Du Nord au Sud,
3,Et pour quinze cents dollars en plus,Oui
4,Outlaw,Oui
5,Les Déserteurs,
6,La Prison de Robertsonville,
7,Les Bleus de la marine,
8,Les Cavaliers du ciel,
9,La Grande Patrouille,
10,Des Bleus et des tuniques,Oui
11,Des Bleus en noir et blanc,
12,Les Bleus tournent cosaques,
13,Les Bleus dans la gadoue,
14,Le Blanc-bec,
15,Rumberley,
16,Bronco Benny,
17,El Padre,
18,Blue rétro,
19,Le David,Oui
20,Black Face,
21,Les Cinq Salopards,
22,Des Bleus et des dentelles,Oui
23,Les Cousins d'en face,
24,Baby blue,
25,Des Bleus et des bosses,
26,L'Or du Québec,
27,Bull Run,Oui
28,Les Bleus de la balle,
29,En avant l'amnésique,
30,La Rose de Bantry,
31,Drummer boy,
32,Les Bleus en folie,
33,Grumbler et fils,
34,Vertes années,
35,Captain Nepel,
36,Quantrill,
37,Duel dans la Manche,
38,Les Planqués,
39,Puppet Blues,
40,Les Hommes de paille,
41,Les Bleus en cavale,
42,Qui veut la peau du général ?,
43,Des Bleus et du blues,Oui
44,L'Oreille de Lincoln,
45,Émeutes à New York,
46,Requiem pour un Bleu,
47,Les Nancy Hart,
48,Arabesque,
49,Mariage à Fort Bow,
50,La Traque,
51,Stark sous toutes les coutures,
52,Des Bleus dans le brouillard,
53,Sang bleu chez les Bleus,
54,Miss Walker,
55,Indien mon frère,
56,Dent pour dent,
57,Colorado Story,
58,Les Bleus se mettent au vert,
59,Les Quatre Évangélistes,
60,Carte blanche pour un bleu,
61,L'Étrange Soldat Franklin,
62,Sallie,
63,La Bataille du cratère,
64,Où est donc Arabesque ?,
65,L'Envoyé spécial,
66,Irish Melody,
67,Du feu sur la glace,
68,De l'or pour les Bleus,